Started Log File:     logs/MMTK 2021-02-17 00-17-55-COM3.txt
Data Source:     COM3

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	53.50	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	54.00	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	54.33	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	51.67	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	55.00	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	50.00	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	45.00	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	51.33	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	53.50	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	44.17	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	45.17	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	49.83	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	51.00	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	43.83	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-8.67	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	14.00	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	-10.33	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-58.17	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	-25.67	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	534.00	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	1850.50	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	3115.83	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	4086.17	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	4628.67	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	4722.17	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	46.70	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	46.77	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	46.22	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	46.12	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	46.03	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	45.25	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	45.30	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	45.31	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	45.27	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	45.14	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	44.93	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	44.64	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	46.81	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	47.10	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	47.34	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	47.14	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	46.88	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	45.65	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	34.73	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	12.96	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	1.81	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.57	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	0.66	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	0.82	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	0.79	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	0.66	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	0.71	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	0.71	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	0.63	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	0.58	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	0.64	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	0.67	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	0.56	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	-0.25	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-0.07	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	0.32	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	4.12	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	14.62	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	22.44	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	26.36	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	30.09	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	34.25	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	37.00	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	38.77	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	40.55	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	42.51	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	44.99	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	47.05	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	49.03	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	50.33	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	51.18	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	52.62	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	54.27	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	56.55	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	57.36	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	56.34	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	54.62	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	52.74	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	51.30	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	50.56	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	50.10	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	50.07	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	50.13	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	50.64	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	50.86	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	50.84	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	50.90	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	50.68	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	1.06	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	1.17	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	1.09	0	1	1	0	0	12.01	1	1	1	1	1	
