Started Log File:     logs/MMTK 2021-02-17 00-25-53-COM3.txt
Data Source:     COM3

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	0.00	0.00	0.07	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	0.05	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	0.02	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	0.06	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	0.10	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	0.08	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	0.03	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.07	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	0.04	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	0.05	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.06	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	0.06	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	0.05	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	0.07	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	0.07	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	0.10	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	0.08	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.04	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	0.09	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	0.07	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	0.06	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	0.04	0	1	1	0	0	12.11	1	1	1	1	1	
1	0.00	0.00	-0.02	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	-0.00	0	1	1	0	0	11.95	1	1	1	1	1	
1	0.00	0.00	0.05	0	1	1	0	0	12.15	1	1	1	1	1	
1	0.00	0.00	0.04	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	0.03	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.08	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	0.10	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	0.11	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.09	0	1	1	0	0	12.07	1	1	1	1	1	
1	0.00	0.00	0.06	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	-0.01	0	1	1	0	0	12.03	1	1	1	1	1	
1	0.00	0.00	0.05	0	1	1	0	0	11.97	1	1	1	1	1	
1	0.00	0.00	0.08	0	1	1	0	0	12.17	1	1	1	1	1	
1	0.00	0.00	0.07	0	1	1	0	0	12.05	1	1	1	1	1	
1	0.00	0.00	0.04	0	1	1	0	0	11.99	1	1	1	1	1	
1	0.00	0.00	0.03	0	1	1	0	0	12.13	1	1	1	1	1	
1	0.00	0.00	0.04	0	1	1	0	0	12.09	1	1	1	1	1	
1	0.00	0.00	0.01	0	1	1	0	0	12.01	1	1	1	1	1	
1	0.00	0.00	0.01	0	1	1	0	0	11.95	1	1	1	1	1	
